,IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish
67,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0996054 0.068675  0.0362816],[9.85329 6.41182 5.32857 5.97172],[ 0.       9.50865 14.0247  13.6746 ],0.0305606,1.0
68,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.112278  0.0826031 0.0434711],[11.1717   7.06625  5.99081  6.27616],[ 0.     10.4826 15.3807 15.6414],0.0337907,1.0
69,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.121077  0.0908069 0.0501157],[12.4901   7.56302  6.50441  6.53976],[ 0.     11.5208 16.7667 16.8846],0.034326800000000005,1.0
70,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0033879  0.00278426 0.00160352],[0.510659 0.600285 1.04952  1.19357 ],[0.       0.686892 0.935101 1.1885  ],4.6699499999999996e-05,1.0
71,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.00784144 0.00587366 0.0031652 ],[1.58872 1.12192 1.83431 1.91477],[0.      1.841   2.68114 2.56937],0.000396408,1.0
72,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0135014  0.00969698 0.00550336],[2.66678 1.4415  2.25879 2.60946],[0.      3.0886  3.43663 4.31288],0.00244257,1.0
73,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0167382  0.011485   0.00715157],[3.74484 1.70522 2.63669 2.97507],[0.      3.85338 4.61288 5.84721],0.00305597,1.0
74,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0205544  0.0141168  0.00768115],[4.82289 2.1002  2.98863 3.08793],[0.      5.3853  5.95248 7.16972],0.00344315,1.0
75,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0248203  0.0172647  0.00896598],[5.90095 2.52576 3.32241 3.26213],[0.      6.71331 7.16588 8.35063],0.00383378,1.0
76,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.029141  0.020384  0.0106983],[6.97901 2.86567 3.61805 3.57195],[0.      7.7387  8.48125 9.49586],0.00403697,1.0
77,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0333249 0.0234623 0.0123816],[8.05707 3.3708  3.92172 3.94323],[ 0.       8.76974  9.81169 10.6854 ],0.00409407,1.0
78,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0374034 0.0264701 0.0139935],[9.13513 3.83766 4.21674 4.31006],[ 0.       9.86691 11.0762  11.8798 ],0.00387541,1.0
79,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN767_LOMAP_G03000,[0.0413259 0.029359  0.0154837],[10.2132   4.24675  4.49416  4.66617],[ 0.     10.9554 12.3183 13.1586],0.00384034,1.0
80,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.00249287 0.00219696 0.00133429],[0.372452 0.604722 0.680321 0.967379],[0.       0.65877  0.874759 1.00071 ],0.00017373,1.0
81,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.00711068 0.00516063 0.00443163],[1.15874 1.85518 1.66007 2.24691],[0.      1.87375 2.59965 2.97032],0.00116128,1.0
82,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0134072  0.00859108 0.00524891],[1.94503 2.56715 2.11247 2.93275],[0.      2.82762 3.7809  4.16135],0.00334159,1.0
83,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0234132  0.0154804  0.00669105],[2.73132 2.85974 2.39758 3.10314],[0.      3.22272 4.83784 5.24211],0.00483106,1.0
84,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0300611  0.0203825  0.00902185],[3.51761 3.11937 2.8934  3.35957],[0.      3.66562 5.80909 6.16484],0.00468131,1.0
